Player,Type,Sold_for_lakh,Cost_in_dollars,Prev_team,Curr_team,status,retention,Base_price(In Lakhs)
Rashid Khan,BOWLER,1500.0,1950.0,Sunrisers Hyderabad,Gujarat Titans,sold,Draft Pick,0.0
Hardik Pandya,ALL-ROUNDER,1500.0,1950.0,Mumbai Indians,Gujarat Titans,sold,Draft Pick,0.0
Lockie Ferguson,BOWLER,1000.0,1300.0,Kolkata Knight Riders,Gujarat Titans,sold,In Auction,200.0
Rahul Tewatia,ALL-ROUNDER,900.0,1170.0,Rajasthan Royals,Gujarat Titans,sold,In Auction,40.0
Shubman Gill,BATTER,800.0,1040.0,Kolkata Knight Riders,Gujarat Titans,sold,Draft Pick,0.0
Mohammad Shami,BOWLER,625.0,812.5,Punjab Kings,Gujarat Titans,sold,In Auction,200.0
Yash Dayal,BOWLER,320.0,416.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,20.0
David Miller,BATTER,300.0,390.0,Rajasthan Royals,Gujarat Titans,sold,In Auction,100.0
R. Sai Kishore,BOWLER,300.0,390.0,Chennai Super Kings,Gujarat Titans,sold,In Auction,20.0
Abhinav Sadarangani,BATTER,260.0,338.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,20.0
Matthew Wade,WICKETKEEPER,240.0,312.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,200.0
Alzarri Joseph,BOWLER,240.0,312.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,75.0
Jason Roy,BATTER,200.0,260.0,Sunrisers Hyderabad,Gujarat Titans,sold,In Auction,200.0
Wriddhiman Saha,WICKETKEEPER,190.0,247.0,Sunrisers Hyderabad,Gujarat Titans,sold,In Auction,100.0
Jayant Yadav,ALL-ROUNDER,170.0,221.0,Mumbai Indians,Gujarat Titans,sold,In Auction,100.0
Vijay Shankar,ALL-ROUNDER,140.0,182.0,Sunrisers Hyderabad,Gujarat Titans,sold,In Auction,50.0
Dominic Drakes,ALL-ROUNDER,110.00000000000001,143.0,Chennai Super Kings,Gujarat Titans,sold,In Auction,75.0
Varun Aaron,BOWLER,50.0,65.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,50.0
Gurkeerat Singh,ALL-ROUNDER,50.0,65.0,Kolkata Knight Riders,Gujarat Titans,sold,In Auction,50.0
Noor Ahmad,BOWLER,30.0,39.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,30.0
Darshan Nalkande,ALL-ROUNDER,20.0,26.0,Punjab Kings,Gujarat Titans,sold,In Auction,20.0
Pradeep Sangwan,ALL-ROUNDER,20.0,26.0, Not Participated in IPL 2021,Gujarat Titans,sold,In Auction,20.0
Ravindra Jadeja,ALL-ROUNDER,1600.0,2080.0,Chennai Super Kings,Chennai Super Kings,sold,Retained,0.0
Deepak Chahar,BOWLER,1400.0,1820.0,Chennai Super Kings,Chennai Super Kings,sold,In Auction,200.0
MS Dhoni,WICKETKEEPER,1200.0,1560.0,Chennai Super Kings,Chennai Super Kings,sold,Retained,0.0
Moeen Ali,ALL-ROUNDER,800.0,1040.0,Chennai Super Kings,Chennai Super Kings,sold,Retained,0.0
Ambati Rayudu,WICKETKEEPER,675.0,877.5,Chennai Super Kings,Chennai Super Kings,sold,In Auction,200.0
